Date,Total_equity_window_1,Total_equity_window_2,Total_equity_window_3,ETH_open_signal_window_1,ETH_close_signal_window_1,ETH_holding_PnL_window_1,ETH_open_signal_window_2,ETH_close_signal_window_2,ETH_holding_PnL_window_2,ETH_open_signal_window_3,ETH_close_signal_window_3,ETH_holding_PnL_window_3,ETH,ATR
2024-11-29 03:00:00+00:00,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3585.86,32.76822936655271
2024-11-29 04:00:00+00:00,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3581.1,32.26549869751323
2024-11-29 05:00:00+00:00,10000.0,9991.077819999999,10000.0,0.0,0.0,0.0,1.0,0.0,-1.7600000000002183,0.0,0.0,0.0,3580.65,31.42367736197657
2024-11-29 06:00:00+00:00,10000.0,9922.757819999999,10000.0,0.0,0.0,0.0,0.0,0.0,-70.07999999999993,0.0,0.0,0.0,3563.57,31.265557550406815
2024-11-29 07:00:00+00:00,10000.0,9858.83782,10000.0,0.0,0.0,0.0,0.0,0.0,-134.0,0.0,0.0,0.0,3547.59,31.442303439663487
2024-11-29 08:00:00+00:00,10000.0,9851.702659999999,10000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3571.86,31.014281765401826
2024-11-29 09:00:00+00:00,10000.0,9851.702659999999,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3570.08,30.13111878215881
2024-11-29 10:00:00+00:00,10000.0,9851.702659999999,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3586.83,29.676753154861753
2024-11-29 11:00:00+00:00,10000.0,9883.688979999999,10000.0,0.0,0.0,0.0,1.0,0.0,39.159999999999854,0.0,0.0,0.0,3596.63,29.531985072371636
2024-11-29 12:00:00+00:00,10000.0,9852.048979999998,10000.0,0.0,0.0,0.0,0.0,0.0,7.519999999998618,0.0,0.0,0.0,3588.72,29.421128995773664
2024-11-29 13:00:00+00:00,10000.0,9844.911519999998,10000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3612.8,29.591048353218415
