Date,Open,High,Low,Close,Volume
27/11/2024 8:00,3426.06,3441.26,3415.18,3424.21,113037.64
27/11/2024 9:00,3424.21,3426.18,3404.16,3414.82,81597.177
27/11/2024 10:00,3414.82,3488.56,3413.41,3457.97,289921.687
27/11/2024 11:00,3457.97,3469.99,3437.4,3463,149113.506
27/11/2024 12:00,3462.99,3486.93,3443.51,3479.97,181987.336
27/11/2024 13:00,3479.97,3508.33,3474.4,3508.29,209588.396
27/11/2024 14:00,3508.28,3531.69,3469.38,3522.32,396445.166
27/11/2024 15:00,3522.32,3575.61,3520,3555.07,411362.79
27/11/2024 16:00,3555.07,3577.97,3541.13,3560.7,278262.574
27/11/2024 17:00,3560.7,3574,3535.45,3563.06,148399.681
27/11/2024 18:00,3563.06,3596.34,3555.71,3587.98,194451.405
27/11/2024 19:00,3587.99,3615.38,3574.77,3592,238527.631
27/11/2024 20:00,3592,3634.05,3590.38,3626.98,178334.729
27/11/2024 21:00,3627,3648.79,3615.52,3635.29,211130.487
27/11/2024 22:00,3635.3,3677.8,3634.63,3668.3,200058.899
27/11/2024 23:00,3668.3,3688,3653.58,3655.88,207622.708
28/11/2024 0:00,3655.89,3664.31,3636.03,3644.76,188199.983
28/11/2024 1:00,3644.77,3649.41,3620.01,3641.25,116386.196
28/11/2024 2:00,3641.28,3646.99,3618.66,3624,84331.076
28/11/2024 3:00,3624,3630.53,3563.33,3601.12,283120.121
28/11/2024 4:00,3601.12,3616.78,3581.85,3606.6,123085.787
28/11/2024 5:00,3606.59,3621.27,3587.65,3591.69,104378.889
28/11/2024 6:00,3591.69,3606.44,3568.68,3597.1,136103.743
28/11/2024 7:00,3597.1,3613.27,3586.52,3594.6,94419.401
28/11/2024 8:00,3594.6,3641.2,3576.79,3631.03,203466.01
28/11/2024 9:00,3631.03,3632.42,3600.15,3600.64,105136.629
28/11/2024 10:00,3600.65,3625.85,3579.35,3605.73,153216.809
28/11/2024 11:00,3605.73,3639.4,3591.81,3622.84,132583.145
28/11/2024 12:00,3622.84,3644.3,3608.34,3624.52,163078.367
28/11/2024 13:00,3624.53,3625.15,3582.72,3590.32,188416.732
28/11/2024 14:00,3590.33,3609.73,3551,3569,362069.14
28/11/2024 15:00,3568.99,3577.62,3537.3,3543.41,246931.727
28/11/2024 16:00,3543.41,3560.76,3531,3542.56,144280.283
28/11/2024 17:00,3542.55,3565.68,3542.24,3555.22,99718.673
28/11/2024 18:00,3555.22,3584.96,3554.7,3580.39,80188.104
28/11/2024 19:00,3580.39,3587.08,3566.01,3577.18,50860.806
28/11/2024 20:00,3577.18,3577.47,3551.95,3558.5,44931.321
28/11/2024 21:00,3558.51,3581.42,3558.51,3573.86,50616.491
28/11/2024 22:00,3573.86,3602.25,3569.39,3595.12,77765.233
28/11/2024 23:00,3595.11,3599.31,3577.24,3581.58,97417.56
29/11/2024 0:00,3581.58,3587.69,3554,3560.36,112964.565
29/11/2024 1:00,3560.37,3573,3551.63,3567.27,63938.671
29/11/2024 2:00,3567.26,3603,3566.31,3602.76,109174.937
29/11/2024 3:00,3602.76,3605,3582,3585.86,64207.61
29/11/2024 4:00,3585.86,3590.9,3565.17,3581.1,79376.953
29/11/2024 5:00,3581.09,3598.48,3578,3580.65,71398.773
29/11/2024 6:00,3580.66,3589.23,3560.02,3563.57,106822.096
29/11/2024 7:00,3563.56,3569.26,3535.52,3547.59,165335.89
29/11/2024 8:00,3547.58,3573.03,3547.58,3571.86,69904.493
29/11/2024 9:00,3571.87,3581.72,3563.07,3570.08,75017.131
29/11/2024 10:00,3570.08,3587.52,3563.75,3586.83,70981.857
29/11/2024 11:00,3586.84,3602.3,3574.65,3596.63,112659.754
29/11/2024 12:00,3596.64,3603,3575.02,3588.72,114166.076
29/11/2024 13:00,3588.73,3618,3586.2,3612.8,166497.416
29/11/2024 14:00,3612.8,3639.08,3598.15,3636.05,193327.047
29/11/2024 15:00,3636.05,3649.28,3603.76,3615.21,271599.139
29/11/2024 16:00,3615.21,3621.97,3586.53,3599.39,181743.342
29/11/2024 17:00,3599.4,3604.03,3580.01,3585.3,141758.524
29/11/2024 18:00,3585.29,3595.63,3571.02,3576.22,86556.373
29/11/2024 19:00,3576.22,3587.59,3561.27,3584.92,86732.764
29/11/2024 20:00,3584.93,3606.17,3579.14,3594.98,71686.171
29/11/2024 21:00,3594.97,3597.39,3577.22,3593.51,46269.357
29/11/2024 22:00,3593.52,3606.41,3586.69,3598.44,38195.356
29/11/2024 23:00,3598.44,3601.41,3591.68,3594.5,45662.697
30/11/2024 0:00,3594.51,3612.76,3579.27,3592.76,98306.716
30/11/2024 1:00,3592.76,3625.94,3570.2,3602.51,136706.216
30/11/2024 2:00,3602.51,3652.93,3595.68,3627.66,185878.416
30/11/2024 3:00,3627.66,3664.28,3620.34,3660.11,143291.708
30/11/2024 4:00,3660.11,3671.7,3637.15,3654.2,133080.271
30/11/2024 5:00,3654.19,3697.92,3641.64,3696.69,180766.25
30/11/2024 6:00,3696.69,3730,3686.68,3698.89,323544.685
30/11/2024 7:00,3698.9,3719.44,3689.07,3705.64,116410.808
30/11/2024 8:00,3705.64,3720.98,3693.01,3695.96,99084.566
30/11/2024 9:00,3695.97,3698.83,3681.82,3694.86,83416.987
30/11/2024 10:00,3694.85,3695.54,3636.93,3644.34,216253.307
30/11/2024 11:00,3644.34,3665.86,3629.96,3656.05,133334.822
30/11/2024 12:00,3656.04,3684,3655,3683.63,85289.997
30/11/2024 13:00,3683.64,3684.61,3667.67,3669.72,80793.624
30/11/2024 14:00,3669.73,3686,3654.02,3658.57,92136.207
30/11/2024 15:00,3658.58,3688.23,3654,3676.6,79400.282
30/11/2024 16:00,3676.6,3687.14,3660,3678.21,97231.306
30/11/2024 17:00,3678.21,3690.73,3667.74,3679.07,50171.442
30/11/2024 18:00,3679.07,3681.95,3666,3673.87,46081.492
30/11/2024 19:00,3673.88,3700,3668.07,3692,69515.811
30/11/2024 20:00,3692,3715.91,3689.15,3714.32,66977.503
30/11/2024 21:00,3714.33,3739.53,3697.13,3722.41,120788.702
30/11/2024 22:00,3722.4,3728.72,3702.96,3710.95,99857.837
30/11/2024 23:00,3710.97,3742.18,3703.1,3705.73,128451.784
1/12/2024 0:00,3705.74,3730,3690.28,3691.12,142639.811
1/12/2024 1:00,3691.14,3734.12,3676.93,3712.4,175999.154
1/12/2024 2:00,3712.41,3716.39,3661.35,3666.63,206873.337
1/12/2024 3:00,3666.63,3715.45,3665.71,3709.49,121111.857
1/12/2024 4:00,3709.49,3710.49,3690.04,3704.34,84017.951
1/12/2024 5:00,3704.34,3704.34,3682.43,3685.18,49842.999
1/12/2024 6:00,3685.18,3708.1,3684.01,3702,46311.187
1/12/2024 7:00,3702,3720,3695.65,3705.05,63392.978
1/12/2024 8:00,3705.05,3720,3701.28,3710.48,94985.441
1/12/2024 9:00,3710.48,3713.39,3693.07,3703.36,60286.441
1/12/2024 10:00,3703.37,3703.7,3677.38,3685.03,83163.85
1/12/2024 11:00,3685.02,3699.89,3681.21,3694.14,58777.689
1/12/2024 12:00,3694.13,3697.21,3682,3684.28,50177.525
1/12/2024 13:00,3684.28,3714.84,3680.5,3703.82,95616.699
1/12/2024 14:00,3703.82,3715.18,3696.43,3708.39,86713.787
1/12/2024 15:00,3708.39,3750.67,3703.33,3731,249386.257
1/12/2024 16:00,3730.99,3747.21,3725.18,3728.74,110068.808
1/12/2024 17:00,3728.74,3732.8,3708.18,3726.12,106273.81
1/12/2024 18:00,3726.11,3734.13,3710.86,3714.6,67688.009
1/12/2024 19:00,3714.61,3721.32,3695.22,3710.73,85779.172
1/12/2024 20:00,3710.72,3713,3681.11,3693.01,119211.918
1/12/2024 21:00,3693,3709.5,3689,3709.49,57397.827
1/12/2024 22:00,3709.5,3739.99,3704.73,3725.21,159378.837
1/12/2024 23:00,3725.21,3732.88,3706.7,3711.24,83357.362
2/12/2024 0:00,3711.22,3723.49,3695.61,3705.08,96332.947
2/12/2024 1:00,3705.09,3744.21,3700.8,3736.98,175801.447
2/12/2024 2:00,3736.98,3745.83,3707,3745.73,139343.25
2/12/2024 3:00,3745.74,3766,3675.01,3687.84,350977.071
2/12/2024 4:00,3687.83,3699.4,3650.03,3693.71,317439.471
2/12/2024 5:00,3693.71,3711.83,3675,3679.17,161981.066
2/12/2024 6:00,3679.17,3687.01,3655.01,3683.33,142832.458
2/12/2024 7:00,3683.33,3688.7,3655,3669.25,138784.469
2/12/2024 8:00,3669.26,3675.75,3590,3606.02,476728.749
2/12/2024 9:00,3606.01,3625.99,3596.85,3625.04,148653.253
2/12/2024 10:00,3625.04,3625.78,3575,3581.69,228747.596
2/12/2024 11:00,3581.7,3600.88,3572.35,3592.21,167887.056
2/12/2024 12:00,3592.21,3618.14,3585.5,3598.42,140603.198
2/12/2024 13:00,3598.41,3632.38,3593.04,3628.99,150103.235
2/12/2024 14:00,3628.99,3667.87,3617.45,3642.84,266731.998
2/12/2024 15:00,3642.84,3683,3620.71,3674.54,274707.378
2/12/2024 16:00,3674.54,3684.61,3620.24,3628.63,267505.543
2/12/2024 17:00,3628.63,3648.04,3557.61,3569.14,310055.674
2/12/2024 18:00,3569.15,3635.75,3566.91,3625.64,179233.478
2/12/2024 19:00,3625.65,3625.87,3586.5,3614.79,131030.665
2/12/2024 20:00,3614.79,3634.11,3604.45,3618.01,107320.28
2/12/2024 21:00,3618.03,3632.17,3601.69,3618.55,95564.597
2/12/2024 22:00,3618.56,3624.84,3600.64,3617.68,61488.189
2/12/2024 23:00,3617.67,3647.57,3614.19,3646.26,79415.853
3/12/2024 0:00,3646.26,3649.9,3624.01,3639.63,102501.495
3/12/2024 1:00,3639.63,3656.81,3620.41,3622,99766.967
3/12/2024 2:00,3622.01,3661.93,3611,3646.89,130186.226
3/12/2024 3:00,3646.9,3660.25,3635.13,3641.93,77081.48
3/12/2024 4:00,3641.94,3659,3637.66,3647.48,57491.794
3/12/2024 5:00,3647.47,3667.99,3643.48,3658.12,66643.78
3/12/2024 6:00,3658.11,3673.9,3628.5,3636.71,130150.457
3/12/2024 7:00,3636.7,3644.46,3602.32,3619.54,211678.756
3/12/2024 8:00,3619.54,3638.45,3602.24,3616.78,138100.668
3/12/2024 9:00,3616.78,3618.36,3598.63,3613.01,95747.913
